treatment,biological_rep,villis_height,villis_width1,villis_width2,villis_width3,crypt_depth,goblet_count
7,4,281.58,32.31,44.95,41.17,9.59,62
7,4,306.87,25.84,33.5,37.86,17.44,68
7,4,302.14,24.37,30.49,30.54,26.04,65
7,4,258.33,25.16,30.1,42.41,18.45,89
7,5,295.76,41.01,48.36,19.64,40.84,37
7,5,334.61,59.4,49.67,49.23,26.51,47
7,5,352.5,40.75,39.12,35.54,21.2,71
7,5,334.54,37.71,33.26,39.13,24.68,88
7,5,329.19,41.01,45.77,51.32,25.1,57
7,5,295.34,29.52,53.59,44.83,16.12,37
7,5,344.86,43.76,32.36,22.22,22.45,36
7,5,351.28,35.54,30.54,24.59,32.85,41
7,5,318.49,34.02,25.9,26.59,26.95,40
7,5,304.02,43.19,42.13,34,24.9,43
7,6,351.94,39.87,49.08,33.24,29.97,73
7,6,289.89,37.86,44.36,47.27,19.36,61
7,6,331.17,58.85,56.01,50.15,31.23,53
7,6,380.28,45.08,57.61,35.52,41.87,85
7,6,284.18,49.28,30.44,21.65,31.72,39
7,6,348.3,67.65,36.39,26.04,35.03,71
7,6,343.76,64.65,51.91,44.58,35.81,75
7,6,374.2,43.86,28.16,37.28,29.54,74
7,6,367.9,51.75,45.31,40.14,30.72,58
7,6,297.04,41.15,34.88,28.42,27.14,71
7,7,305.27,45.88,53.1,49.57,36.86,90
7,7,322.42,81.2,49.32,57.3,20.11,53
7,7,348.02,32.62,48.02,35.83,22.3,65
7,7,312.91,42.01,34.54,28.95,51.96,66
7,7,284.13,52.62,45.83,48.11,35.96,107
7,7,319.53,44.75,51.96,45.39,51.45,73
7,7,303.45,27.66,35.63,41.92,41.26,66
7,7,346.93,54.03,35.43,45.54,36.64,82
7,7,338.9,49.6,59.68,48.04,40.37,68
7,7,324.58,43.92,50.01,66.94,20.82,102
8,1,249.47,36.14,37.92,41.11,29.49,51
8,1,235.06,35.67,59.18,37.25,42.76,34
8,1,242.51,37.97,46.52,32.68,24.53,62
8,1,246.18,33.43,51.09,30.24,28.15,47
8,1,229.05,37.36,39.36,28.59,25.12,45
8,1,267.28,40.51,53.73,26.18,17.35,42
8,1,274.48,39.91,41.89,42.27,25.78,42
8,1,252.1,27.8,19.93,16.64,41.74,36
8,1,272.98,34.51,32.94,33.14,14.02,50
8,1,262.63,22.42,34.08,32.62,21.4,59
8,2,236.42,24.8,40.75,38.18,18.63,65
8,2,246.27,52.62,28.22,36.39,29.48,48
8,2,216.87,49.48,50.78,36.11,38.18,66
8,2,222.83,36.87,42.24,49.94,22.07,50
8,2,224.99,34.31,36.84,27.75,15.66,60
8,2,197.79,31,29.9,28.55,32.62,70
8,2,236.05,36.25,38.67,37.96,16.83,56
8,2,210.79,30.79,36.66,29.38,13.91,54
8,2,223.63,39.98,34.6,35.25,13.14,60
8,2,225.52,27.1,34.24,36.23,13.3,55
8,3,287.74,51.11,45.04,56.11,31.21,87
8,3,217.71,32.51,53.41,46.52,44.83,71
8,3,256.17,33.5,24.9,35.44,40.67,51
8,3,242.69,35.8,38.32,51.67,30.26,42
